1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,4
12,4
13,4
14,4
15,4
16,5
17,3
18,3
19,3
20,3
21,3
22,3
23,5
24,3
25,3
26,7
27,7
28,7
29,7
30,7
31,4
32,4
33,4
34,4
35,4
36,2
37,2
38,2
39,2
40,2
41,7
42,7
43,7
44,7
45,7
46,3
47,3
48,3
49,5
50,3
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,3
67,3
68,5
69,3
70,3
71,5
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,5
81,6
82,6
83,6
84,6
85,6
86,7
87,7
88,7
89,7
90,7
91,4
92,4
93,4
94,4
95,4
96,1
97,1
98,1
99,1
100,1
101,2
102,2
103,2
104,2
105,2
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
