1,3
2,3
3,3
4,3
5,3
6,6
7,6
8,6
9,6
10,6
11,21
12,21
13,21
14,21
15,21
16,15
17,15
18,15
19,15
20,15
21,11
22,11
23,11
24,11
25,11
26,19
27,19
28,19
29,19
30,19
31,9
32,9
33,9
34,9
35,9
36,12
37,12
38,12
39,12
40,12
41,14
42,5
43,19
44,15
45,6
46,20
47,20
48,20
49,20
50,20
51,4
52,4
53,4
54,4
55,4
56,5
57,5
58,5
59,5
60,5
61,18
62,18
63,18
64,18
65,18
66,24
67,24
68,24
69,13
70,24
71,10
72,10
73,10
74,10
75,10
76,1
77,1
78,1
79,1
80,1
81,16
82,16
83,16
84,16
85,16
86,23
87,23
88,23
89,23
90,23
91,22
92,22
93,22
94,22
95,22
96,25
97,25
98,25
99,25
100,25
101,2
102,2
103,2
104,2
105,2
106,25
107,25
108,25
109,25
110,25
111,8
112,8
113,8
114,8
115,8
116,14
117,14
118,14
119,14
120,14
121,7
122,7
123,7
124,7
125,7
